Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
120;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,0,0,0,1,0;0.00%
121;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,0,0,1,0,0;0.00%
122;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,0,1,0,0,0;0.00%
123;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,0,1,0,1,1,1,1;0.00%
124;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,0,1,1,0,0,0,0;0.00%
125;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,0,1,1,0,1,1,1;0.00%
126;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,0,1,1,1,0,1,1;0.00%
127;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;0,0,1,1,1,1,0,1;0.00%
128;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,0,0,0,1,0;0.00%
129;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,0,0,1,0,0;0.00%
130;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,0,1,0,0,0;0.00%
131;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,0,0,1,1,1,1;0.00%
132;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,0,1,0,0,0,0;0.00%
133;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,0,1,0,1,1,1;0.00%
134;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,0,1,1,0,1,1;0.00%
135;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;0,1,0,1,1,1,0,1;0.00%
136;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;0,1,1,0,0,0,0,0;0.00%
137;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,0,0,1,1,1;0.00%
138;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,0,1,0,1,1;0.00%
139;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,0,1,1,0,1;0.00%
140;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,1,0,0,1,1;0.00%
141;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,1,0,1,0,1;0.00%
142;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;;6.0;3.0;Ganado;0,1,1,1,1,0,0,1;0.00%
143;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,0,0,0,1,0;0.00%
144;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,0,0,1,0,0;0.00%
145;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,0,1,0,0,0;0.00%
146;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,0,0,1,1,1,1;0.00%
147;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,0,1,0,0,0,0;0.00%
148;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,0,1,0,1,1,1;0.00%
