Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
312;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,0,1,1,0,0;0.0%
313;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,0,0,1,1,1,1;0.13614%
314;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,1,0,0,1,0;0.0%
315;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,1,0,1,0,0;0.0%
316;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,0,1,0,1,1,1;0.74119%
317;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,1,1,0,0,0;0.0%
318;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,0,1,1,0,1,1;0.13614%
319;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,0,1,0,1,1,1,0,1;0.74119%
320;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,1,0,0,0,1,0;0.0%
321;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,1,0,0,1,0,0;0.0%
322;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,1,0,0,1,1,1;0.13614%
323;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,1,0,1,0,0,0;0.0%
324;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,1,0,1,0,1,1;0.025%
325;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,0,1,1,0,1,1,0,1;0.13614%
326;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,1,1,0,0,0,0;0.0%
327;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,1,1,0,0,1,1;0.13614%
328;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,0,1,1,1,0,1,0,1;0.74119%
329;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;0,0,1,1,1,1,0,0,1;0.13614%
330;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,1,0,0,0,0,1,1,0;0.0%
331;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,1,0,0,0,1,0,1,0;0.0%
332;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,0,0,0,1,1,0,0;0.0%
333;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,0,0,0,1,1,1,1;0.025%
334;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,1,0,0,1,0,0,1,0;0.0%
335;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,0,0,1,0,1,0,0;0.0%
336;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,0,0,1,0,1,1,1;0.13614%
337;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,0,0,1,1,0,0,0;0.0%
338;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,0,0,1,1,0,1,1;0.025%
339;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,0,0,1,1,1,0,1;0.13614%
340;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,1,0,1,0,0,0,1,0;0.0%
341;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,0,1,0,0,1,0,0;0.0%
342;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,0,1,0,0,1,1,1;0.025%
343;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,0,1,0,1,0,0,0;0.0%
344;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,0,1,0,1,0,1,1;0.00459%
345;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,0,1,0,1,1,0,1;0.025%
346;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,0,1,1,0,0,0,0;0.0%
347;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,0,1,1,0,0,1,1;0.025%
348;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,0,1,1,0,1,0,1;0.13614%
349;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,0,1,1,1,0,0,1;0.025%
350;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,1,1,0,0,0,0,1,0;0.0%
351;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,1,0,0,0,1,0,0;0.0%
352;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,1,0,0,0,1,1,1;0.13614%
