Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence
177;0;0;0;1;0;1;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,1,0,1,0
178;0;0;0;1;0;1;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,1,1,0,0
179;0;0;0;1;0;1;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,1,1,1,1
180;0;0;0;1;1;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;1,0,0,1,1,0
181;0;0;0;1;1;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,1,0,1,0
182;0;0;0;1;1;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,1,1,0,0
183;0;0;0;1;1;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,1,1,1,1
184;0;0;0;1;1;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,1,0,0,1,0
185;0;0;0;1;1;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,1,0,1,0,0
186;0;0;0;1;1;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,1,0,1,1,1
187;0;0;0;1;1;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,1,0,0,0
188;0;0;0;1;1;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,1,0,1,1
189;0;0;0;1;1;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,1,1,0,1
190;0;0;1;0;0;0;1.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,1,1,1,0
191;0;0;1;0;0;1;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,1,0,1,1,0
192;0;0;1;0;0;1;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,1,0,1,0
193;0;0;1;0;0;1;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,1,1,0,0
194;0;0;1;0;0;1;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,1,1,1,1
195;0;0;1;0;1;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;1,0,0,1,1,0
196;0;0;1;0;1;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,1,0,1,0
