Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status
181;0;0;0;1;1;0;1;0;1;0;;;;4;6;Perdido
182;0;0;0;1;1;0;1;1;0;0;;;;4;6;Perdido
183;0;0;0;1;1;0;1;1;1;1;;;;6;4;Ganado
184;0;0;0;1;1;1;0;0;1;0;;;;4;6;Perdido
185;0;0;0;1;1;1;0;1;0;0;;;;4;6;Perdido
186;0;0;0;1;1;1;0;1;1;1;;;;6;4;Ganado
187;0;0;0;1;1;1;1;0;0;0;;;;4;6;Perdido
188;0;0;0;1;1;1;1;0;1;1;;;;6;4;Ganado
189;0;0;0;1;1;1;1;1;0;1;;;;6;4;Ganado
190;0;0;1;0;0;0;1;1;1;0;;;;4;6;Perdido
191;0;0;1;0;0;1;0;1;1;0;;;;4;6;Perdido
192;0;0;1;0;0;1;1;0;1;0;;;;4;6;Perdido
193;0;0;1;0;0;1;1;1;0;0;;;;4;6;Perdido
194;0;0;1;0;0;1;1;1;1;1;;;;6;4;Ganado
195;0;0;1;0;1;0;0;1;1;0;;;;4;6;Perdido
196;0;0;1;0;1;0;1;0;1;0;;;;4;6;Perdido
197;0;0;1;0;1;0;1;1;0;0;;;;4;6;Perdido
198;0;0;1;0;1;0;1;1;1;1;;;;6;4;Ganado
199;0;0;1;0;1;1;0;0;1;0;;;;4;6;Perdido
200;0;0;1;0;1;1;0;1;0;0;;;;4;6;Perdido
201;0;0;1;0;1;1;0;1;1;1;;;;6;4;Ganado
202;0;0;1;0;1;1;1;0;0;0;;;;4;6;Perdido
203;0;0;1;0;1;1;1;0;1;1;;;;6;4;Ganado
204;0;0;1;0;1;1;1;1;0;1;;;;6;4;Ganado
205;0;0;1;1;0;0;0;1;1;0;;;;4;6;Perdido
206;0;0;1;1;0;0;1;0;1;0;;;;4;6;Perdido
207;0;0;1;1;0;0;1;1;0;0;;;;4;6;Perdido
208;0;0;1;1;0;0;1;1;1;1;;;;6;4;Ganado
209;0;0;1;1;0;1;0;0;1;0;;;;4;6;Perdido
210;0;0;1;1;0;1;0;1;0;0;;;;4;6;Perdido
211;0;0;1;1;0;1;0;1;1;1;;;;6;4;Ganado
212;0;0;1;1;0;1;1;0;0;0;;;;4;6;Perdido
213;0;0;1;1;0;1;1;0;1;1;;;;6;4;Ganado
214;0;0;1;1;0;1;1;1;0;1;;;;6;4;Ganado
215;0;0;1;1;1;0;0;0;1;0;;;;4;6;Perdido
216;0;0;1;1;1;0;0;1;0;0;;;;4;6;Perdido
217;0;0;1;1;1;0;0;1;1;1;;;;6;4;Ganado
218;0;0;1;1;1;0;1;0;0;0;;;;4;6;Perdido
219;0;0;1;1;1;0;1;0;1;1;;;;6;4;Ganado
220;0;0;1;1;1;0;1;1;0;1;;;;6;4;Ganado
221;0;0;1;1;1;1;0;0;0;0;;;;4;6;Perdido
222;0;0;1;1;1;1;0;0;1;1;;;;6;4;Ganado
223;0;0;1;1;1;1;0;1;0;1;;;;6;4;Ganado
224;0;0;1;1;1;1;1;0;0;1;;;;6;4;Ganado
225;0;1;0;0;0;0;1;1;1;0;;;;4;6;Perdido
226;0;1;0;0;0;1;0;1;1;0;;;;4;6;Perdido
227;0;1;0;0;0;1;1;0;1;0;;;;4;6;Perdido
228;0;1;0;0;0;1;1;1;0;0;;;;4;6;Perdido
229;0;1;0;0;0;1;1;1;1;1;;;;6;4;Ganado
230;0;1;0;0;1;0;0;1;1;0;;;;4;6;Perdido
231;0;1;0;0;1;0;1;0;1;0;;;;4;6;Perdido
232;0;1;0;0;1;0;1;1;0;0;;;;4;6;Perdido
233;0;1;0;0;1;0;1;1;1;1;;;;6;4;Ganado
234;0;1;0;0;1;1;0;0;1;0;;;;4;6;Perdido
235;0;1;0;0;1;1;0;1;0;0;;;;4;6;Perdido
236;0;1;0;0;1;1;0;1;1;1;;;;6;4;Ganado
237;0;1;0;0;1;1;1;0;0;0;;;;4;6;Perdido
238;0;1;0;0;1;1;1;0;1;1;;;;6;4;Ganado
239;0;1;0;0;1;1;1;1;0;1;;;;6;4;Ganado
240;0;1;0;1;0;0;0;1;1;0;;;;4;6;Perdido
241;0;1;0;1;0;0;1;0;1;0;;;;4;6;Perdido
242;0;1;0;1;0;0;1;1;0;0;;;;4;6;Perdido
243;0;1;0;1;0;0;1;1;1;1;;;;6;4;Ganado
244;0;1;0;1;0;1;0;0;1;0;;;;4;6;Perdido
245;0;1;0;1;0;1;0;1;0;0;;;;4;6;Perdido
246;0;1;0;1;0;1;0;1;1;1;;;;6;4;Ganado
247;0;1;0;1;0;1;1;0;0;0;;;;4;6;Perdido
248;0;1;0;1;0;1;1;0;1;1;;;;6;4;Ganado
249;0;1;0;1;0;1;1;1;0;1;;;;6;4;Ganado
250;0;1;0;1;1;0;0;0;1;0;;;;4;6;Perdido
251;0;1;0;1;1;0;0;1;0;0;;;;4;6;Perdido
252;0;1;0;1;1;0;0;1;1;1;;;;6;4;Ganado
253;0;1;0;1;1;0;1;0;0;0;;;;4;6;Perdido
254;0;1;0;1;1;0;1;0;1;1;;;;6;4;Ganado
255;0;1;0;1;1;0;1;1;0;1;;;;6;4;Ganado
256;0;1;0;1;1;1;0;0;0;0;;;;4;6;Perdido
257;0;1;0;1;1;1;0;0;1;1;;;;6;4;Ganado
258;0;1;0;1;1;1;0;1;0;1;;;;6;4;Ganado
259;0;1;0;1;1;1;1;0;0;1;;;;6;4;Ganado
260;0;1;1;0;0;0;0;1;1;0;;;;4;6;Perdido
261;0;1;1;0;0;0;1;0;1;0;;;;4;6;Perdido
262;0;1;1;0;0;0;1;1;0;0;;;;4;6;Perdido
263;0;1;1;0;0;0;1;1;1;1;;;;6;4;Ganado
264;0;1;1;0;0;1;0;0;1;0;;;;4;6;Perdido
265;0;1;1;0;0;1;0;1;0;0;;;;4;6;Perdido
266;0;1;1;0;0;1;0;1;1;1;;;;6;4;Ganado
267;0;1;1;0;0;1;1;0;0;0;;;;4;6;Perdido
268;0;1;1;0;0;1;1;0;1;1;;;;6;4;Ganado
269;0;1;1;0;0;1;1;1;0;1;;;;6;4;Ganado
270;0;1;1;0;1;0;0;0;1;0;;;;4;6;Perdido
271;0;1;1;0;1;0;0;1;0;0;;;;4;6;Perdido
272;0;1;1;0;1;0;0;1;1;1;;;;6;4;Ganado
273;0;1;1;0;1;0;1;0;0;0;;;;4;6;Perdido
274;0;1;1;0;1;0;1;0;1;1;;;;6;4;Ganado
275;0;1;1;0;1;0;1;1;0;1;;;;6;4;Ganado
276;0;1;1;0;1;1;0;0;0;0;;;;4;6;Perdido
277;0;1;1;0;1;1;0;0;1;1;;;;6;4;Ganado
278;0;1;1;0;1;1;0;1;0;1;;;;6;4;Ganado
279;0;1;1;0;1;1;1;0;0;1;;;;6;4;Ganado
280;0;1;1;1;0;0;0;0;1;0;;;;4;6;Perdido
281;0;1;1;1;0;0;0;1;0;0;;;;4;6;Perdido
282;0;1;1;1;0;0;0;1;1;1;;;;6;4;Ganado
283;0;1;1;1;0;0;1;0;0;0;;;;4;6;Perdido
284;0;1;1;1;0;0;1;0;1;1;;;;6;4;Ganado
285;0;1;1;1;0;0;1;1;0;1;;;;6;4;Ganado
286;0;1;1;1;0;1;0;0;0;0;;;;4;6;Perdido
287;0;1;1;1;0;1;0;0;1;1;;;;6;4;Ganado
288;0;1;1;1;0;1;0;1;0;1;;;;6;4;Ganado
289;0;1;1;1;0;1;1;0;0;1;;;;6;4;Ganado
290;0;1;1;1;1;0;0;0;0;0;;;;4;6;Perdido
291;0;1;1;1;1;0;0;0;1;1;;;;6;4;Ganado
292;0;1;1;1;1;0;0;1;0;1;;;;6;4;Ganado
293;0;1;1;1;1;0;1;0;0;1;;;;6;4;Ganado
294;0;1;1;1;1;1;0;0;0;1;;;;6;4;Ganado
295;1;0;0;0;0;0;1;1;1;0;;;;4;6;Perdido
296;1;0;0;0;0;1;0;1;1;0;;;;4;6;Perdido
297;1;0;0;0;0;1;1;0;1;0;;;;4;6;Perdido
298;1;0;0;0;0;1;1;1;0;0;;;;4;6;Perdido
299;1;0;0;0;0;1;1;1;1;1;;;;6;4;Ganado
300;1;0;0;0;1;0;0;1;1;0;;;;4;6;Perdido
301;1;0;0;0;1;0;1;0;1;0;;;;4;6;Perdido
302;1;0;0;0;1;0;1;1;0;0;;;;4;6;Perdido
303;1;0;0;0;1;0;1;1;1;1;;;;6;4;Ganado
304;1;0;0;0;1;1;0;0;1;0;;;;4;6;Perdido
305;1;0;0;0;1;1;0;1;0;0;;;;4;6;Perdido
306;1;0;0;0;1;1;0;1;1;1;;;;6;4;Ganado
307;1;0;0;0;1;1;1;0;0;0;;;;4;6;Perdido
